content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
Sudah top up shopee pay malah saldonya tidak masuk udah menghubungi cs balasannya lama dan permasalahan gak selesai,sudah top up shopee pay malah saldonya tidak masuk udah menghubungi cs balasannya lama dan permasalahan gak selesai,sudah top up shopee pay malah saldonya tidak masuk sudah menghubungi cs balasannya lama dan permasalahan tidak selesai,"['sudah', 'top', 'up', 'shopee', 'pay', 'malah', 'saldonya', 'tidak', 'masuk', 'sudah', 'menghubungi', 'cs', 'balasannya', 'lama', 'dan', 'permasalahan', 'tidak', 'selesai']","['top', 'up', 'shopee', 'pay', 'malah', 'saldonya', 'tidak', 'masuk', 'menghubungi', 'cs', 'balasannya', 'lama', 'permasalahan', 'tidak', 'selesai']"
Lemot bangettt. Bikin males bukanya:(,lemot bangettt bikin males bukanya,lemot bangettt bikin males bukanya,"['lemot', 'bangettt', 'bikin', 'males', 'bukanya']","['lemot', 'bangettt', 'bikin', 'males', 'bukanya']"
"Dikit2 admin, mau check out admin, isi saldo admin, gratis ongkir ptongan makin dikit hadeeehhh lama2 males pake shopee mngkin bsa bralih ke aplikasi sbelah kali ya",dikit admin mau check out admin isi saldo admin gratis ongkir ptongan makin dikit hadeeehhh lama males pake shopee mngkin bsa bralih ke aplikasi sbelah kali ya,sedikit  admin mau check out admin isi saldo admin gratis ongkir ptongan makin sedikit  hadeeehhh lama males pakai  shopee mngkin bisa bralih ke aplikasi sbelah kali ya,"['sedikit', 'admin', 'mau', 'check', 'out', 'admin', 'isi', 'saldo', 'admin', 'gratis', 'ongkir', 'ptongan', 'makin', 'sedikit', 'hadeeehhh', 'lama', 'males', 'pakai', 'shopee', 'mngkin', 'bisa', 'bralih', 'ke', 'aplikasi', 'sbelah', 'kali', 'ya']","['sedikit', 'admin', 'mau', 'check', 'out', 'admin', 'isi', 'saldo', 'admin', 'gratis', 'ongkir', 'ptongan', 'makin', 'sedikit', 'hadeeehhh', 'lama', 'males', 'pakai', 'shopee', 'mngkin', 'bralih', 'aplikasi', 'sbelah', 'kali']"
"Ko skarang shopee aku suka ga mau di buka keterangannya sedang dalam perbaikan terus...padahal sudah diperbarui,sudah hapus cache..",ko skarang shopee aku suka ga mau di buka keterangannya sedang dalam perbaikan terus padahal sudah diperbarui sudah hapus cache,ko skarang shopee saya suka tidak mau di buka keterangannya sedang dalam perbaikan terus padahal sudah diperbarui sudah hapus cache,"['ko', 'skarang', 'shopee', 'saya', 'suka', 'tidak', 'mau', 'di', 'buka', 'keterangannya', 'sedang', 'dalam', 'perbaikan', 'terus', 'padahal', 'sudah', 'diperbarui', 'sudah', 'hapus', 'cache']","['ko', 'skarang', 'shopee', 'suka', 'tidak', 'mau', 'buka', 'keterangannya', 'sedang', 'perbaikan', 'terus', 'padahal', 'diperbarui', 'hapus', 'cache']"
"Min maap kukasi bintang 2 dulu ya. Shopeeku lemot banget, selalu aja minta sambungkan ke jaringan lbh stabil, pdhl sblmnya ga. Udah login logout, bersihkan cache, bahkan sampe reinstall, ttp aja ga bisa. Sampe ak gabisa CO apapun 😭. Ak mau chat cs aja gabisa krn selalu sambungkan ke jaringan yg lebih stabil. Jaringanku oke, tapi skrg gabisa buat akses shopee. Tolong min ak harus ke siapa biar ak bisa pake shopee lagi. Terimakasih mimin",min maap kukasi bintang dulu ya shopeeku lemot banget selalu aja minta sambungkan ke jaringan lbh stabil pdhl sblmnya ga udah login logout bersihkan cache bahkan sampe reinstall ttp aja ga bisa sampe ak gabisa co apapun wajah menangis keras ak mau chat cs aja gabisa krn selalu sambungkan ke jaringan yg lebih stabil jaringanku oke tapi skrg gabisa buat akses shopee tolong min ak harus ke siapa biar ak bisa pake shopee lagi terimakasih mimin,min maaf kukasi bintang dulu ya shopeeku lemot sekali  selalu saja  minta sambungkan ke jaringan lebih  stabil padahal  sblmnya tidak sudah login logout bersihkan cache bahkan sampai reinstall tetap  saja  tidak bisa sampai saya  tidak bisa co apapun wajah menangis keras saya  mau chat cs saja  tidak bisa karena  selalu sambungkan ke jaringan yang  lebih stabil jaringanku oke tapi sekarang  tidak bisa buat akses shopee tolong min saya  harus ke siapa biar saya  bisa pakai  shopee lagi terimakasih mimin,"['min', 'maaf', 'kukasi', 'bintang', 'dulu', 'ya', 'shopeeku', 'lemot', 'sekali', 'selalu', 'saja', 'minta', 'sambungkan', 'ke', 'jaringan', 'lebih', 'stabil', 'padahal', 'sblmnya', 'tidak', 'sudah', 'login', 'logout', 'bersihkan', 'cache', 'bahkan', 'sampai', 'reinstall', 'tetap', 'saja', 'tidak', 'bisa', 'sampai', 'saya', 'tidak', 'bisa', 'co', 'apapun', 'wajah', 'menangis', 'keras', 'saya', 'mau', 'chat', 'cs', 'saja', 'tidak', 'bisa', 'karena', 'selalu', 'sambungkan', 'ke', 'jaringan', 'yang', 'lebih', 'stabil', 'jaringanku', 'oke', 'tapi', 'sekarang', 'tidak', 'bisa', 'buat', 'akses', 'shopee', 'tolong', 'min', 'saya', 'harus', 'ke', 'siapa', 'biar', 'saya', 'bisa', 'pakai', 'shopee', 'lagi', 'terimakasih', 'mimin']","['min', 'maaf', 'kukasi', 'bintang', 'dulu', 'shopeeku', 'lemot', 'sekali', 'selalu', 'minta', 'sambungkan', 'jaringan', 'lebih', 'stabil', 'padahal', 'sblmnya', 'tidak', 'login', 'logout', 'bersihkan', 'cache', 'bahkan', 'reinstall', 'tetap', 'tidak', 'tidak', 'co', 'apapun', 'wajah', 'menangis', 'keras', 'mau', 'chat', 'cs', 'tidak', 'selalu', 'sambungkan', 'jaringan', 'lebih', 'stabil', 'jaringanku', 'oke', 'sekarang', 'tidak', 'buat', 'akses', 'shopee', 'min', 'siapa', 'biar', 'pakai', 'shopee', 'terimakasih', 'mimin']"
"Makin kesini shope makin gajelas,giliran baju sexy ada tapigiliran nyari Vape susahbanget gakeluar keluar.",makin kesini shope makin gajelas giliran baju sexy ada tapigiliran nyari vape susahbanget gakeluar keluar,makin kesini shope makin tidak jelas giliran baju sexy ada tapigiliran cari  vape susahbanget gakeluar keluar,"['makin', 'kesini', 'shope', 'makin', 'tidak', 'jelas', 'giliran', 'baju', 'sexy', 'ada', 'tapigiliran', 'cari', 'vape', 'susahbanget', 'gakeluar', 'keluar']","['makin', 'kesini', 'shope', 'makin', 'tidak', 'jelas', 'giliran', 'baju', 'sexy', 'tapigiliran', 'cari', 'vape', 'susahbanget', 'gakeluar', 'keluar']"
kenapa pembaharuan halaman trs ch mau belanja susah mau beli token susah....,kenapa pembaharuan halaman trs ch mau belanja susah mau beli token susah,kenapa pembaharuan halaman terus  ch mau belanja susah mau beli token susah,"['kenapa', 'pembaharuan', 'halaman', 'terus', 'ch', 'mau', 'belanja', 'susah', 'mau', 'beli', 'token', 'susah']","['pembaharuan', 'halaman', 'terus', 'ch', 'mau', 'belanja', 'susah', 'mau', 'beli', 'token', 'susah']"
"Ribet sekali mau mindahin no hp, dri hp yg lama dgn hp yg baru..",ribet sekali mau mindahin no hp dri hp yg lama dgn hp yg baru,ribet sekali mau mindahin no hp dari  hp yang  lama dengan  hp yang  baru,"['ribet', 'sekali', 'mau', 'mindahin', 'no', 'hp', 'dari', 'hp', 'yang', 'lama', 'dengan', 'hp', 'yang', 'baru']","['ribet', 'sekali', 'mau', 'mindahin', 'no', 'hp', 'hp', 'lama', 'hp', 'baru']"
"Limit ada, malahan tdi pagi limit ditambah 270k, ehh tiap kali mau nyoba pembayaran pakek shopeepaylater ditolak mulu...ahhh bkin ksel dah shopee, mending hapus ajja dah akun saya.",limit ada malahan tdi pagi limit ditambah k ehh tiap kali mau nyoba pembayaran pakek shopeepaylater ditolak mulu ahhh bkin ksel dah shopee mending hapus ajja dah akun saya,limit ada malahan tadi  pagi limit ditambah k ehh tiap kali mau coba  pembayaran pakai  shopeepaylater ditolak terus  ahhh bikin  ksel sudah shopee mending hapus ajja sudah akun saya,"['limit', 'ada', 'malahan', 'tadi', 'pagi', 'limit', 'ditambah', 'k', 'ehh', 'tiap', 'kali', 'mau', 'coba', 'pembayaran', 'pakai', 'shopeepaylater', 'ditolak', 'terus', 'ahhh', 'bikin', 'ksel', 'sudah', 'shopee', 'mending', 'hapus', 'ajja', 'sudah', 'akun', 'saya']","['limit', 'malahan', 'tadi', 'pagi', 'limit', 'ditambah', 'k', 'ehh', 'tiap', 'kali', 'mau', 'coba', 'pembayaran', 'pakai', 'shopeepaylater', 'ditolak', 'terus', 'ahhh', 'bikin', 'ksel', 'shopee', 'mending', 'hapus', 'ajja', 'akun']"
Bagus tp ada video video nya gitu jadi lemot,bagus tp ada video video nya gitu jadi lemot,bagus tapi ada video video nya begitu  jadi lemot,"['bagus', 'tapi', 'ada', 'video', 'video', 'nya', 'begitu', 'jadi', 'lemot']","['bagus', 'video', 'video', 'nya', 'jadi', 'lemot']"
"Setelah update malah lemot, sering macet jd males mau belanja. Soalnya harus force close app dulu baru bisa. Ahg..... Sudahlah",setelah update malah lemot sering macet jd males mau belanja soalnya harus force close app dulu baru bisa ahg sudahlah,setelah update malah lemot sering macet jadi males mau belanja soalnya harus force close app dulu baru bisa ahg sudahlah,"['setelah', 'update', 'malah', 'lemot', 'sering', 'macet', 'jadi', 'males', 'mau', 'belanja', 'soalnya', 'harus', 'force', 'close', 'app', 'dulu', 'baru', 'bisa', 'ahg', 'sudahlah']","['update', 'malah', 'lemot', 'sering', 'macet', 'jadi', 'males', 'mau', 'belanja', 'soalnya', 'force', 'close', 'app', 'dulu', 'baru', 'ahg', 'sudahlah']"
Apk nya lemot,apk nya lemot,apk nya lemot,"['apk', 'nya', 'lemot']","['apk', 'nya', 'lemot']"
sangat kecewa saya beanja di sopee selernya kantornya ga tanggung jawab sampai saat ini kurang barang nya ga ada yg tanggung jawab,sangat kecewa saya beanja di sopee selernya kantornya ga tanggung jawab sampai saat ini kurang barang nya ga ada yg tanggung jawab,sangat kecewa saya beanja di sopee selernya kantornya tidak tanggung jawab sampai saat ini kurang barang nya tidak ada yang  tanggung jawab,"['sangat', 'kecewa', 'saya', 'beanja', 'di', 'sopee', 'selernya', 'kantornya', 'tidak', 'tanggung', 'jawab', 'sampai', 'saat', 'ini', 'kurang', 'barang', 'nya', 'tidak', 'ada', 'yang', 'tanggung', 'jawab']","['sangat', 'kecewa', 'beanja', 'sopee', 'selernya', 'kantornya', 'tidak', 'tanggung', 'jawab', 'kurang', 'barang', 'nya', 'tidak', 'tanggung', 'jawab']"
Melihat biaya penanganan yang begitu mahal saya jadi urung membeli barang yang saya inginkan,melihat biaya penanganan yang begitu mahal saya jadi urung membeli barang yang saya inginkan,melihat biaya penanganan yang begitu mahal saya jadi urung membeli barang yang saya inginkan,"['melihat', 'biaya', 'penanganan', 'yang', 'begitu', 'mahal', 'saya', 'jadi', 'urung', 'membeli', 'barang', 'yang', 'saya', 'inginkan']","['melihat', 'biaya', 'penanganan', 'mahal', 'jadi', 'urung', 'membeli', 'barang', 'inginkan']"
"Shopee sekarang makin manja, harus belanja Rp 40-Ribu baru dapat Ongkir ... Dulu Belanja Rp 0",shopee sekarang makin manja harus belanja rp ribu baru dapat ongkir dulu belanja rp,shopee sekarang makin manja harus belanja rp ribu baru dapat ongkir dulu belanja rp,"['shopee', 'sekarang', 'makin', 'manja', 'harus', 'belanja', 'rp', 'ribu', 'baru', 'dapat', 'ongkir', 'dulu', 'belanja', 'rp']","['shopee', 'sekarang', 'makin', 'manja', 'belanja', 'rp', 'ribu', 'baru', 'ongkir', 'dulu', 'belanja', 'rp']"
Intinya lemot parah dan dan tidak semua produk bisa COD. semoga cepat d perbaiki,intinya lemot parah dan dan tidak semua produk bisa cod semoga cepat d perbaiki,intinya lemot parah dan dan tidak semua produk bisa cod semoga cepat d perbaiki,"['intinya', 'lemot', 'parah', 'dan', 'dan', 'tidak', 'semua', 'produk', 'bisa', 'cod', 'semoga', 'cepat', 'd', 'perbaiki']","['intinya', 'lemot', 'parah', 'tidak', 'semua', 'produk', 'cod', 'semoga', 'cepat', 'd', 'perbaiki']"
Gabisa dibuka malahan,gabisa dibuka malahan,tidak bisa dibuka malahan,"['tidak', 'bisa', 'dibuka', 'malahan']","['tidak', 'dibuka', 'malahan']"
Akun saya di blokir apa salah saya,akun saya di blokir apa salah saya,akun saya di blokir apa salah saya,"['akun', 'saya', 'di', 'blokir', 'apa', 'salah', 'saya']","['akun', 'blokir', 'apa', 'salah']"
Gambar item produk sangat sering sekali tidak muncul. Sering ngelag. Tolong diperbaiki.,gambar item produk sangat sering sekali tidak muncul sering ngelag tolong diperbaiki,gambar hitam  produk sangat sering sekali tidak muncul sering ngelag tolong diperbaiki,"['gambar', 'hitam', 'produk', 'sangat', 'sering', 'sekali', 'tidak', 'muncul', 'sering', 'ngelag', 'tolong', 'diperbaiki']","['gambar', 'hitam', 'produk', 'sangat', 'sering', 'sekali', 'tidak', 'muncul', 'sering', 'ngelag', 'diperbaiki']"
Saya mau membayar lewat shoopepay malah shoopepay nya tidak bisa di buka?,saya mau membayar lewat shoopepay malah shoopepay nya tidak bisa di buka,saya mau membayar lewat shoopepay malah shoopepay nya tidak bisa di buka,"['saya', 'mau', 'membayar', 'lewat', 'shoopepay', 'malah', 'shoopepay', 'nya', 'tidak', 'bisa', 'di', 'buka']","['mau', 'membayar', 'lewat', 'shoopepay', 'malah', 'shoopepay', 'nya', 'tidak', 'buka']"
"Habis update malah lemot, sampai udah unistall ttp lemot, koreksi dong developer nya, jangan kasih saran yg klasik, sinyal ok, delete chace dll, jd males pakai Tuh kan klasik banget balasannya by bot..",habis update malah lemot sampai udah unistall ttp lemot koreksi dong developer nya jangan kasih saran yg klasik sinyal ok delete chace dll jd males pakai tuh kan klasik banget balasannya by bot,habis update malah lemot sampai sudah unistall tetap  lemot koreksi dong developer nya jangan kasih saran yang  klasik sinyal oke delete chace dan lain jadi males pakai tuh kan klasik sekali  balasannya by bot,"['habis', 'update', 'malah', 'lemot', 'sampai', 'sudah', 'unistall', 'tetap', 'lemot', 'koreksi', 'dong', 'developer', 'nya', 'jangan', 'kasih', 'saran', 'yang', 'klasik', 'sinyal', 'oke', 'delete', 'chace', 'dan', 'lain', 'jadi', 'males', 'pakai', 'tuh', 'kan', 'klasik', 'sekali', 'balasannya', 'by', 'bot']","['habis', 'update', 'malah', 'lemot', 'unistall', 'tetap', 'lemot', 'koreksi', 'dong', 'developer', 'nya', 'jangan', 'kasih', 'saran', 'klasik', 'sinyal', 'oke', 'delete', 'chace', 'jadi', 'males', 'pakai', 'tuh', 'kan', 'klasik', 'sekali', 'balasannya', 'by', 'bot']"
Aplikasinya berat susah orang buat belanja di handpon spek rendah,aplikasinya berat susah orang buat belanja di handpon spek rendah,aplikasinya berat susah orang buat belanja di handpon spek rendah,"['aplikasinya', 'berat', 'susah', 'orang', 'buat', 'belanja', 'di', 'handpon', 'spek', 'rendah']","['aplikasinya', 'berat', 'susah', 'orang', 'buat', 'belanja', 'handpon', 'spek', 'rendah']"
"perbaikan mulu dari kemaren ga bisa di buka aplikasi nya,saldo ngendap di dalam lagih parahh",perbaikan mulu dari kemaren ga bisa di buka aplikasi nya saldo ngendap di dalam lagih parahh,perbaikan terus  dari kemarin  tidak bisa di buka aplikasi nya saldo ngendap di dalam lagih parahh,"['perbaikan', 'terus', 'dari', 'kemarin', 'tidak', 'bisa', 'di', 'buka', 'aplikasi', 'nya', 'saldo', 'ngendap', 'di', 'dalam', 'lagih', 'parahh']","['perbaikan', 'terus', 'kemarin', 'tidak', 'buka', 'aplikasi', 'nya', 'saldo', 'ngendap', 'lagih', 'parahh']"
Kok aplikasi shopee qw dlam perbaikan trs yah mau blnja jdi gk bsa ngsel in bgt qw mau uninstal takut slh ntr kehilangan akun shopee qw😣 tlong dong pihak shopee ksih solusi d apain gtu biar gk smpek uninstal pdhl gk undate kok mlah gtu kmbali k halamn trs,kok aplikasi shopee qw dlam perbaikan trs yah mau blnja jdi gk bsa ngsel in bgt qw mau uninstal takut slh ntr kehilangan akun shopee qw wajah tidak setuju tlong dong pihak shopee ksih solusi d apain gtu biar gk smpek uninstal pdhl gk undate kok mlah gtu kmbali k halamn trs,kok aplikasi shopee qw dlam perbaikan terus  yah mau blnja jadi tidak bisa ngsel in sangat  qw mau uninstal takut salah  nanti  kehilangan akun shopee qw wajah tidak setuju tlong dong pihak shopee kasih  solusi d apain begitu  biar tidak smpek uninstal padahal  tidak undate kok malah  begitu  kmbali k halamn terus ,"['kok', 'aplikasi', 'shopee', 'qw', 'dlam', 'perbaikan', 'terus', 'yah', 'mau', 'blnja', 'jadi', 'tidak', 'bisa', 'ngsel', 'in', 'sangat', 'qw', 'mau', 'uninstal', 'takut', 'salah', 'nanti', 'kehilangan', 'akun', 'shopee', 'qw', 'wajah', 'tidak', 'setuju', 'tlong', 'dong', 'pihak', 'shopee', 'kasih', 'solusi', 'd', 'apain', 'begitu', 'biar', 'tidak', 'smpek', 'uninstal', 'padahal', 'tidak', 'undate', 'kok', 'malah', 'begitu', 'kmbali', 'k', 'halamn', 'terus']","['kok', 'aplikasi', 'shopee', 'qw', 'dlam', 'perbaikan', 'terus', 'yah', 'mau', 'blnja', 'jadi', 'tidak', 'ngsel', 'in', 'sangat', 'qw', 'mau', 'uninstal', 'takut', 'salah', 'kehilangan', 'akun', 'shopee', 'qw', 'wajah', 'tidak', 'setuju', 'tlong', 'dong', 'pihak', 'shopee', 'kasih', 'solusi', 'd', 'apain', 'biar', 'tidak', 'smpek', 'uninstal', 'padahal', 'tidak', 'undate', 'kok', 'malah', 'kmbali', 'k', 'halamn', 'terus']"
Kenapa setelah update suka keluar dg sendiri aplikasinya. Nge bug. Dan lemot banget. Padahal signal nya full.,kenapa setelah update suka keluar dg sendiri aplikasinya nge bug dan lemot banget padahal signal nya full,kenapa setelah update suka keluar dengan  sendiri aplikasinya nge bug dan lemot sekali  padahal signal nya full,"['kenapa', 'setelah', 'update', 'suka', 'keluar', 'dengan', 'sendiri', 'aplikasinya', 'nge', 'bug', 'dan', 'lemot', 'sekali', 'padahal', 'signal', 'nya', 'full']","['update', 'suka', 'keluar', 'sendiri', 'aplikasinya', 'nge', 'bug', 'lemot', 'sekali', 'padahal', 'signal', 'nya', 'full']"
"Sekarang susah, lemot, geal geol,,bikin emosi,,, !",sekarang susah lemot geal geol bikin emosi,sekarang susah lemot geal geol bikin emosi,"['sekarang', 'susah', 'lemot', 'geal', 'geol', 'bikin', 'emosi']","['sekarang', 'susah', 'lemot', 'geal', 'geol', 'bikin', 'emosi']"
"bagus, apl yg sangat membantu tpi maaf cukup dua bintang aja, karena yg tiga ada di ayang🤣",bagus apl yg sangat membantu tpi maaf cukup dua bintang aja karena yg tiga ada di ayang tertawa terbahak bahak,bagus apl yang  sangat membantu tapi  maaf cukup dua bintang saja  karena yang  tiga ada di sayang  tertawa terbahak bahak,"['bagus', 'apl', 'yang', 'sangat', 'membantu', 'tapi', 'maaf', 'cukup', 'dua', 'bintang', 'saja', 'karena', 'yang', 'tiga', 'ada', 'di', 'sayang', 'tertawa', 'terbahak', 'bahak']","['bagus', 'apl', 'sangat', 'membantu', 'maaf', 'cukup', 'bintang', 'tiga', 'sayang', 'tertawa', 'terbahak', 'bahak']"
Sekarang Gak ada Gratis Ongkir nya.,sekarang gak ada gratis ongkir nya,sekarang tidak ada gratis ongkir nya,"['sekarang', 'tidak', 'ada', 'gratis', 'ongkir', 'nya']","['sekarang', 'tidak', 'gratis', 'ongkir', 'nya']"
Loadingnya lama,loadingnya lama,loadingnya lama,"['loadingnya', 'lama']","['loadingnya', 'lama']"
Delay,delay,delay,['delay'],['delay']
Mohon segera di perbaiki masalah lambatnya respon aplikasi Shopee versi sekarang ini. Terima kasih!,mohon segera di perbaiki masalah lambatnya respon aplikasi shopee versi sekarang ini terima kasih,mohon segera di perbaiki masalah lambatnya respon aplikasi shopee versi sekarang ini terima kasih,"['mohon', 'segera', 'di', 'perbaiki', 'masalah', 'lambatnya', 'respon', 'aplikasi', 'shopee', 'versi', 'sekarang', 'ini', 'terima', 'kasih']","['mohon', 'segera', 'perbaiki', 'masalah', 'lambatnya', 'respon', 'aplikasi', 'shopee', 'versi', 'sekarang', 'terima', 'kasih']"
Makin lama makin lemot,makin lama makin lemot,makin lama makin lemot,"['makin', 'lama', 'makin', 'lemot']","['makin', 'lama', 'makin', 'lemot']"
Katanya shopee gratis ongkir.padahal potongan ongkir,katanya shopee gratis ongkir padahal potongan ongkir,katanya shopee gratis ongkir padahal potongan ongkir,"['katanya', 'shopee', 'gratis', 'ongkir', 'padahal', 'potongan', 'ongkir']","['katanya', 'shopee', 'gratis', 'ongkir', 'padahal', 'potongan', 'ongkir']"
"Makin kesini makin lemot aja sering di update bukannya tambah lancar malah tambah lemot, ditambah sekrang shope pelit gratis ongkir pelit cashback biaya penangan nya aja bisa ngalah2in ongkir whyyy shipe makin kesini makin bintang 1 aja 😭 padahal dulu banyak banget gretongan nya , performa nya makin lelet 💔",makin kesini makin lemot aja sering di update bukannya tambah lancar malah tambah lemot ditambah sekrang shope pelit gratis ongkir pelit cashback biaya penangan nya aja bisa ngalah in ongkir whyyy shipe makin kesini makin bintang aja wajah menangis keras padahal dulu banyak banget gretongan nya performa nya makin lelet patah hati,makin kesini makin lemot saja  sering di update bukannya tambah lancar malah tambah lemot ditambah sekrang shope pelit gratis ongkir pelit cashback biaya penangan nya saja  bisa ngalah in ongkir whyyy shipe makin kesini makin bintang saja  wajah menangis keras padahal dulu banyak sekali  gretongan nya performa nya makin lelet patah hati,"['makin', 'kesini', 'makin', 'lemot', 'saja', 'sering', 'di', 'update', 'bukannya', 'tambah', 'lancar', 'malah', 'tambah', 'lemot', 'ditambah', 'sekrang', 'shope', 'pelit', 'gratis', 'ongkir', 'pelit', 'cashback', 'biaya', 'penangan', 'nya', 'saja', 'bisa', 'ngalah', 'in', 'ongkir', 'whyyy', 'shipe', 'makin', 'kesini', 'makin', 'bintang', 'saja', 'wajah', 'menangis', 'keras', 'padahal', 'dulu', 'banyak', 'sekali', 'gretongan', 'nya', 'performa', 'nya', 'makin', 'lelet', 'patah', 'hati']","['makin', 'kesini', 'makin', 'lemot', 'sering', 'update', 'bukannya', 'tambah', 'lancar', 'malah', 'tambah', 'lemot', 'ditambah', 'sekrang', 'shope', 'pelit', 'gratis', 'ongkir', 'pelit', 'cashback', 'biaya', 'penangan', 'nya', 'ngalah', 'in', 'ongkir', 'whyyy', 'shipe', 'makin', 'kesini', 'makin', 'bintang', 'wajah', 'menangis', 'keras', 'padahal', 'dulu', 'banyak', 'sekali', 'gretongan', 'nya', 'performa', 'nya', 'makin', 'lelet', 'patah', 'hati']"
